imdb,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,error_movies,plot,rated,response,language,title,country,writer,metascore,imdbrating,director,released,actors,year,genre,awards,runtime,type,poster,imdbvotes,imdbid,error_imdb,imdb_rating
tt0837562,ok,ok,PASS,85000000,148313048.0,359222014.0,2012PASS,86244278,150484138.0,364480509.0,1.0,1.0,837562,,,,,,,,,,,,,,,,,,,,,,,
tt0790724,notalk,notalk,FAIL,60000000,80070736.0,217370736.0,2012FAIL,60878314,81242857.0,220552732.0,1.0,1.0,790724,,,,,,,,,,,,,,,,,,,,,,,
tt2106476,men,men,FAIL,3450000,687185.0,687185.0,2012FAIL,3500503,697244.0,697244.0,1.0,1.0,2106476,,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",R,True,"Danish, English, Polish",The Hunt,"Denmark, Sweden","Tobias Lindholm, Thomas Vinterberg",76.0,8.3,Thomas Vinterberg,10 Jan 2013,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",2012.0,Drama,Nominated for 1 Oscar. Another 29 wins & 37 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SX300.jpg,"78,455",tt2106476,,8.3
tt0401729,ok-disagree,ok,PASS,275000000,73058679.0,282778100.0,2012PASS,279025606,74128153.0,286917566.0,1.0,1.0,401729,,,,,,,,,,,,,,,,,,,,,,,
tt1764234,nowomen,nowomen,FAIL,15000000,14945541.0,37238774.0,2012FAIL,15219578,15164322.0,37783896.0,1.0,1.0,1764234,,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",R,True,English,Killing Them Softly,USA,"Andrew Dominik (screenplay), George V. Higgins (based on the novel ""Cogan's Trade"" by)",64.0,6.2,Andrew Dominik,30 Nov 2012,"Brad Pitt, Scoot McNairy, Ben Mendelsohn, James Gandolfini",2012.0,"Crime, Thriller",2 wins & 2 nominations.,97 min,movie,http://ia.media-imdb.com/images/M/MV5BODk3MDg2NDk5M15BMl5BanBnXkFtZTcwMjcxMjMzOA@@._V1_SX300.jpg,"85,170",tt1764234,,6.2
tt1707386,ok-disagree,ok,PASS,65000000,148809770.0,442022894.0,2012PASS,65951507,150988132.0,448493475.0,1.0,1.0,1707386,,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives for ever.",PG-13,True,English,Les Misérables,"USA, UK","William Nicholson (screenplay), Alain Boublil (screenplay), Claude-Michel Schönberg (screenplay), Herbert Kretzmer (screenplay), Alain Boublil (stage musical ""Les Misérables""), Claude-Michel Schönberg (stage musical ""Les Misérables""), Victor Hugo (novel)",63.0,7.7,Tom Hooper,25 Dec 2012,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried",2012.0,"Drama, Musical, Romance",Won 3 Oscars. Another 48 wins & 111 nominations.,158 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_SX300.jpg,"176,369",tt1707386,,7.7
tt0454876,notalk-disagree,notalk,FAIL,120000000,124987022.0,607987022.0,2012FAIL,121756628,126816653.0,616887080.0,1.0,1.0,454876,,,,,,,,,,,,,,,,,,,,,,,
tt0443272,ok-disagree,ok,PASS,65000000,182207973.0,273000960.0,2012PASS,65951507,184875236.0,276997302.0,1.0,1.0,443272,,,,,,,,,,,,,,,,,,,,,,,
tt1277953,men-disagree,men,FAIL,145000000,216391482.0,746921271.0,2012FAIL,147122592,219559143.0,757855127.0,1.0,1.0,1277953,,"Alex, Marty, Gloria and Melman are still fighting to get home to their beloved Big Apple. Their journey takes them through Europe where they find the perfect cover: a traveling circus, which they reinvent - Madagascar style.",PG,True,English,Madagascar 3: Europe's Most Wanted,USA,"Eric Darnell (screenplay), Noah Baumbach (screenplay)",60.0,7.0,"Eric Darnell, Tom McGrath, Conrad Vernon",08 Jun 2012,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",2012.0,"Animation, Adventure, Comedy",1 win & 19 nominations.,93 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM2MTIzNzk2MF5BMl5BanBnXkFtZTcwMDcwMzQxNw@@._V1_SX300.jpg,"80,229",tt1277953,,7.0
tt1409024,notalk,notalk,FAIL,215000000,179020854.0,624821154.0,2012FAIL,218147292,181641463.0,633967639.0,1.0,1.0,1409024,,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,PG-13,True,English,Men in Black 3,"USA, United Arab Emirates","Etan Cohen, Lowell Cunningham (based on the Malibu comic by)",58.0,6.9,Barry Sonnenfeld,25 May 2012,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",2012.0,"Action, Comedy, Sci-Fi",1 win & 13 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_SX300.jpg,"189,035",tt1409024,,6.9
